,Domains
FBgn0027578,Peptidase_M13_N/Peptidase_M13
FBgn0039616,P4Ha_N/2OG-FeII_Oxy_3
FBgn0039617,Ig_3/I-set/ig/V-set/Ig_2/C2-set_2
FBgn0053203,HlyIII
FBgn0039612,Peptidase_M13_N/Peptidase_M13
FBgn0003093,Pkinase/C1_1/PK_Tyr_Ser-Thr/C2/Pkinase_C/ABC1/Kinase-like
FBgn0039628,Trypsin/Trypsin_2
FBgn0039629,Trypsin/Trypsin_2
FBgn0039630,Trypsin/Trypsin_2
FBgn0039637,Choline_transpo
FBgn0028671,V_ATPase_I
FBgn0039640,ERAP1_C/Peptidase_M1/Peptidase_M1_N
FBgn0039644,ABC_membrane/ABC_tran/MMR_HSR1/RsgA_GTPase/AAA_29/AAA_21/Dynamin_N/AAA_23/DUF87/AAA_22
FBgn0039645,ABC_membrane/ABC_tran/MMR_HSR1/AAA_21/AAA_29/AAA_23/GTP_EFTU
FBgn0051445,ERAP1_C/Peptidase_M1/Peptidase_M1_N
FBgn0039656,Peptidase_M1/ERAP1_C/Peptidase_M1_N
FBgn0039655,Phospholip_A2_1
FBgn0039647,EB
FBgn0039666,Diedel
FBgn0015622,Calreticulin
FBgn0039677,ASC
FBgn0039678,PBP_GOBP
FBgn0039679,ASC
FBgn0039684,PBP_GOBP
FBgn0039688,Reprolysin_2/Reprolysin_5/Reprolysin_3/Disintegrin/Pep_M12B_propep/Reprolysin/Reprolysin_4
FBgn0039685,PBP_GOBP
FBgn0039682,PBP_GOBP
FBgn0051041,DUF725
FBgn0039671,DUF725
FBgn0039670,DUF725
FBgn0019972,Peptidase_C14
FBgn0039704,PAN_1/PAN_3
FBgn0039709,Cadherin/Cadherin_3/Cadherin_2/fn3
FBgn0039719,Chitin_bind_4
FBgn0003357,Trypsin/Trypsin_2
FBgn0004622,7tm_1/7TM_GPCR_Srsx/7tm_4
FBgn0003358,Trypsin/Trypsin_2
FBgn0003356,Trypsin/Trypsin_2
FBgn0003861,TRP_2/Ion_trans/Ank_2/Ank/Ank_3/Ank_4/Ank_5/PKD_channel
FBgn0039722,Periviscerokin
FBgn0039718,DUF4773
FBgn0039703,Trypsin
FBgn0039728,LRR_8/LRR_4/LRR_5/LRR_1/LRR_9
FBgn0039734,Pep_M12B_propep
FBgn0026597,DIX/RGS/Axin_b-cat_bind
FBgn0003510,Serendipity_A
FBgn0039748,SH2
FBgn0051028,Sod_Cu
FBgn0051030,Ac45-VOA1_TM/VAS1_LD
FBgn0039747,7tm_1/7TM_GPCR_Srsx/7tm_4/7TM_GPCR_Srx
FBgn0000279,Cecropin/Fungus-induced
FBgn0039760,DUF3659
FBgn0015221,Ferritin
FBgn0039768,Metallophos/ASMase_C
FBgn0015222,Ferritin/Rubrerythrin
FBgn0039759,Trypsin/CLIP
FBgn0039758,Trypsin/CLIP/DUF1986/Trypsin_2/Peptidase_S6
FBgn0039769,Metallophos/ASMase_C
FBgn0039774,Ceramidase_alk/Ceramidse_alk_C
FBgn0039776,P4Ha_N/2OG-FeII_Oxy_3
FBgn0039778,Trypsin/Trypsin_2
FBgn0039779,P4Ha_N/2OG-FeII_Oxy_3/2OG-FeII_Oxy/TPR_2
FBgn0039782,2OG-FeII_Oxy_3/P4Ha_N
FBgn0039784,P4Ha_N/2OG-FeII_Oxy_3
FBgn0039787,Sulfate_transp/STAS
FBgn0051017,P4Ha_N/2OG-FeII_Oxy_3
FBgn0051015,P4Ha_N/2OG-FeII_Oxy_3/2OG-FeII_Oxy
FBgn0051013,P4Ha_N/2OG-FeII_Oxy_3/2OG-FeII_Oxy/TPR_2
FBgn0039789,Sulfate_transp/STAS
FBgn0051524,P4Ha_N/2OG-FeII_Oxy_3/TPR_2
FBgn0039783,P4Ha_N/2OG-FeII_Oxy_3/TPR_2/TPR_11/TPR_1
FBgn0051014,P4Ha_N/2OG-FeII_Oxy_3
FBgn0051371,P4Ha_N/Ran-binding
FBgn0039780,P4Ha_N/2OG-FeII_Oxy_3/2OG-FeII_Oxy
FBgn0026190,P4Ha_N/2OG-FeII_Oxy_3
FBgn0039777,Trypsin/Trypsin_2
FBgn0039771,DUF1676
FBgn0039770,CRF-BP
FBgn0039795,Serpin
FBgn0039805,Chitin_bind_4
FBgn0000416,SapB_2/SapB_1/SapA
FBgn0011739,Pkinase/PK_Tyr_Ser-Thr/ABC1
FBgn0039801,E1_DerP2_DerF2
FBgn0039800,E1_DerP2_DerF2
FBgn0039798,Trypsin/CLIP/Trypsin_2
FBgn0016123,Alk_phosphatase
FBgn0039821,7tm_2
FBgn0039818,7tm_2/GPS
FBgn0002413,Pkinase/PK_Tyr_Ser-Thr/Pkinase_fungal
FBgn0004573,7tm_1/7TM_GPCR_Srsx/7tm_4
FBgn0062411,Ctr
FBgn0039838,Carb_anhydrase
FBgn0040628,Carb_anhydrase
FBgn0040629,Carb_anhydrase
FBgn0039839,ASC
FBgn0039840,Neur_chan_LBD/Neur_chan_memb
FBgn0051004,AMOP/NIDO/VWD/Sushi/TIG
FBgn0039844,AA_permease_2/AA_permease
FBgn0039851,PAN_1/Zona_pellucida/PAN_3
FBgn0039852,PAN_1/Zona_pellucida/PAN_3
FBgn0039848,Lysyl_oxidase/SRCR/SRCR_2
FBgn0039862,LRR_8/Ig_3/ig/I-set/LRR_4/Ig_2/LRR_5/LRR_1
FBgn0039879,Lig_chan-Glu_bd
FBgn0039882,DUF1011
FBgn0003065,Mucin-like
FBgn0039873,SSF
FBgn0017448,SSF
FBgn0039872,SSF
FBgn0000150,NDK
FBgn0039883,RhoGAP/PDZ/C2
FBgn0039886,MFS_1/Sugar_tr
FBgn0051619,TSP1_ADAMTS/TSP_1/TSP1_CCN/TSP1_spondin/I-set/Ig_3/PLAC/ADAMTS_CR_3/Ig_2/V-set
FBgn0032973,Lipase/Abhydrolase_6
FBgn0032981,Abhydro_lipase/Abhydrolase_1/Hydrolase_4
FBgn0033047,Sugar_tr/MFS_1
FBgn0033058,7tm_1/7tm_4/TAS2R/7TM_GPCR_Srw
FBgn0040502,Lectin_C
FBgn0021847,TTC7_N/TPR_2/TPR_14/ANAPC3/TPR_1/TPR_19/TPR_17/TPR_12/TPR_16/TPR_11/TPR_9
FBgn0033067,Lectin_C
FBgn0033048,MFS_1/Sugar_tr
FBgn0033032,Claudin_2/PMP22_Claudin/Claudin_3
FBgn0033042,Tetraspanin
FBgn0033043,7tm_6
FBgn0033041,7tm_6/7tm_7
FBgn0025693,Cation_efflux
FBgn0033033,CLIP_SPH_Scar/Trypsin/DUF1986
FBgn0033028,MFS_1
FBgn0014009,Ras/Roc/Arf/MMR_HSR1/GTP_EFTU/MnmE_helical/RsgA_GTPase/Gtr1_RagA
FBgn0033097,Zip
FBgn0033096,Zip
FBgn0033095,MFS_1/Sugar_tr
FBgn0033108,VWC
FBgn0028988,Serpin
FBgn0033115,Serpin
FBgn0050158,Ras/Roc/GTP_EFTU/Arf/RsgA_GTPase/MnmE_helical
FBgn0053348,DUF1091
FBgn0053349,ASC
FBgn0029508,Tetraspanin
FBgn0050160,Tetraspanin
FBgn0033124,Tetraspanin
FBgn0029506,Tetraspanin
FBgn0029507,Tetraspanin
FBgn0022960,Arm
FBgn0066292,DUF1091
FBgn0033110,Acyl_transf_3
FBgn0034511,CBM39
FBgn0034540,LRR_8/LRR_4/LRR_5/LRR_1/LRR_9
FBgn0034539,Lys
FBgn0034538,Lys
FBgn0034517,Chitin_bind_4
FBgn0043536,PBP_GOBP
FBgn0050145,PBP_GOBP
FBgn0050148,CBM39
FBgn0034509,PBP_GOBP
FBgn0043534,PBP_GOBP
FBgn0034507,Trypsin/Trypsin_2
FBgn0034499,Chitin_bind_4
FBgn0034494,SSF
FBgn0034490,MFS_1/Sugar_tr
FBgn0034489,ASC
FBgn0034486,DM4_12
FBgn0034471,PBP_GOBP
FBgn0043533,PBP_GOBP
FBgn0034475,PBP_GOBP
FBgn0034476,LRR_8/LRR_4/LRR_5/LRR_1/LRR_9/TIR_2/TIR
FBgn0043532,PBP_GOBP
FBgn0034474,PBP_GOBP
FBgn0034473,7tm_6
FBgn0034468,PBP_GOBP
FBgn0034470,PBP_GOBP
FBgn0046879,PBP_GOBP
FBgn0046880,PBP_GOBP
FBgn0010434,FERM_C/FERM_M/4_1_CTD/FERM_N/FA
FBgn0013954,FKBP_C
FBgn0034443,Inhibitor_I29
FBgn0053453,DUF1091
FBgn0053454,DUF1091
FBgn0034408,CABIT
FBgn0004168,7tm_1/7TM_GPCR_Srsx
FBgn0028669,V_ATPase_I
FBgn0034399,DUF4728
FBgn0004240,Attacin_C
FBgn0034407,Attacin_C
FBgn0034398,DUF4728/Mtp
FBgn0034394,MFS_1/Sugar_tr/MFS_2
FBgn0010651,MFS_1/Sugar_tr
FBgn0034392,MFS_1/Sugar_tr
FBgn0034381,SNF
FBgn0034329,DIM
FBgn0034330,DIM
FBgn0025583,DIM
FBgn0040736,DIM
FBgn0040735,DIM
FBgn0040734,DIM
FBgn0064237,Glyco_hydro_18
FBgn0040733,DIM
FBgn0034331,DIM
FBgn0034328,DIM
FBgn0028983,Serpin
FBgn0034318,Lectin_C
FBgn0034321,DUF1091
FBgn0034322,DUF1091
FBgn0034323,DUF1091
FBgn0034326,DUF1091
FBgn0003520,dsrm/Staufen_C
FBgn0034301,CBM_14
FBgn0041585,Orai-1
FBgn0050323,Trypsin
FBgn0011589,Ion_trans/PAS_9/Ion_trans_2/PAS_3/cNMP_binding/IRK
FBgn0034284,DUF1091
FBgn0034288,DUF725
FBgn0034296,DUF725/Mucin
FBgn0034295,DUF725
FBgn0034294,DUF725
FBgn0034293,DUF725
FBgn0034292,DUF725
FBgn0034291,DUF725
FBgn0016701,Ras/Roc/Arf/GTP_EFTU/MMR_HSR1/MnmE_helical/Gtr1_RagA
FBgn0029079,Voldacs
FBgn0034264,SH3_2/SH3_1/SH3_9/SH3_3/SH3_16
FBgn0034267,Claudin_2/PMP22_Claudin
FBgn0034269,Hyccin
FBgn0034262,LRR_8/LRR_4
FBgn0016059,Sema/PSI
FBgn0050106,7tm_1
FBgn0034253,SEA
FBgn0034247,Sugar_tr/MFS_1
FBgn0010620,PDZ/PDZ_6/Peptidase_M50/PDZ_2
FBgn0034221,Trypsin/DUF1986
FBgn0034225,5_nucleotid_C/Metallophos
FBgn0050104,5_nucleotid_C/Metallophos
FBgn0050103,5_nucleotid_C
FBgn0034229,Peptidase_C1/Inhibitor_I29
FBgn0034230,RasGEF/RasGEF_N
FBgn0028956,Methuselah_N/7tm_2
FBgn0034219,Methuselah_N/7tm_2
FBgn0034184,DUF2045
FBgn0026721,Spond_N/TSP1_spondin/TSP_1/Kunitz_BPTI/TSP1_CCN/Reeler/TSP1_ADAMTS
FBgn0000078,Alpha-amylase_C/Alpha-amylase
FBgn0034197,Polysacc_deac_1
FBgn0034201,GYR
FBgn0034204,GYR
FBgn0050457,GYR
FBgn0050458,GYR
FBgn0062413,Ctr
FBgn0029898,MFS_1/Sugar_tr
FBgn0029909,7tm_1/7TM_GPCR_Srsx/7tm_4
FBgn0003390,WIF/EGF_2/EGF/hEGF
FBgn0029896,Sugar_tr/MFS_1/MFS_1_like
FBgn0027108,Innexin
FBgn0029932,Sugar_tr/MFS_1
FBgn0027342,Frizzled/Fz
FBgn0029930,DUF4808
FBgn0027106,Innexin
FBgn0004646,Innexin
FBgn0029913,Glyco_hydro_18
FBgn0029950,SSF
FBgn0040922,Mucin
FBgn0029962,Carb_anhydrase
FBgn0029966,Lig_chan-Glu_bd/Lig_chan
FBgn0004657,Integrin_beta/Integrin_b_cyt/Integrin_B_tail/I-EGF_1/EGF_2
FBgn0003656,cNMP_binding/Patatin
FBgn0027280,DUF4803
FBgn0029974,Ig_3/I-set/V-set/ig/Ig_2/V-set_CD47
FBgn0030013,Phospholip_A2_2
FBgn0030027,Fz/Trypsin/SEA/Ldl_recept_a/DUF1986/PRP38_assoc
FBgn0015519,Neur_chan_LBD/Neur_chan_memb
FBgn0030016,7tm_6/7tm_7
FBgn0030011,WD40/ANAPC4_WD40/NBCH_WD40/eIF2A/WD40_like/Ge1_WD40
FBgn0030001,Zona_pellucida
FBgn0000359,Chorion_3
FBgn0000360,Chorion_3
FBgn0053181,MgtE
FBgn0025864,DENN/dDENN/uDENN
FBgn0030051,Trypsin/Trypsin_2
FBgn0030050,Lectin_C
FBgn0030040,DUF753
FBgn0041629,Glyco_hydro_20/Glycohydro_20b2
FBgn0030074,DUF1091
FBgn0011661,FERM_M/ERM_C/ERM_helical/FERM_C/FERM_N
FBgn0030098,DUF725
FBgn0030103,PBP_GOBP
FBgn0030105,Cystatin
FBgn0000077,TM2
FBgn0052704,Lig_chan/Lig_chan-Glu_bd/SBP_bac_3
FBgn0030109,Lung_7-TM_R/GpcrRhopsn4
FBgn0052702,CUB/EGF/CUB_2/hEGF/EGF_CA/EGF_3
FBgn0052698,Carb_anhydrase
FBgn0026415,Glyco_hydro_18
FBgn0030148,NRF/Acyl_transf_3
FBgn0030164,Fibrinogen_C
FBgn0004045,Lipase
FBgn0030174,Ig_3/ig/Ig_2
FBgn0005391,Lipase
FBgn0030163,Fibrinogen_C
FBgn0030181,zf-LITAF-like
FBgn0030200,Ras/Roc/Arf/GTP_EFTU/MMR_HSR1
FBgn0030204,7tm_6
FBgn0052683,Arrestin_C/Arrestin_N
FBgn0052679,CAP
FBgn0028331,PSI
FBgn0011770,AP_endonuc_2
FBgn0030187,DUF4766
FBgn0030186,DUF4766
FBgn0067052,Ras/Roc/Arf
FBgn0030223,ERAP1_C/Peptidase_M1/Peptidase_M1_N
FBgn0052677,PID/PDZ/PDZ_6
FBgn0030230,C2/FYVE_2
FBgn0052673,Ras/Roc/Arf
FBgn0030222,ERAP1_C/Peptidase_M1/Peptidase_M1_N
FBgn0030221,Ras/Roc/Arf
FBgn0034554,Carb_anhydrase
FBgn0034558,EF-hand_7/EF-hand_1/EF-hand_6/EF-hand_5/EF-hand_8
FBgn0034580,Glyco_hydro_18/CBM_14
FBgn0003748,Trehalase/GDE_C
FBgn0034582,Glyco_hydro_18
FBgn0022700,Glyco_hydro_18/CBM_14
FBgn0050293,Glyco_hydro_18/CBM_14
FBgn0003391,Cadherin/CADH_Y-type_LIR/Laminin_G_2/Laminin_G_1/Cadherin_3
FBgn0034568,Guanylate_cyc/ANF_receptor/PK_Tyr_Ser-Thr/Pkinase/HNOBA
FBgn0016984,PIP5K
FBgn0034588,GDPD/CBM_20
FBgn0034602,LRR_8/LRR_4/LRR_1/LRR_9/LRR_5/LRR_6
FBgn0034626,TM2
FBgn0000395,VWD/VWC/C8/TILa
FBgn0034624,CAP
FBgn0034623,CAP
FBgn0034612,ABC_membrane/ABC_tran/AAA_29/MMR_HSR1/AAA_21/AAA_16/RsgA_GTPase/Dynamin_N/NB-ARC/AAA_22/AAA_23/DO-GTPase2
FBgn0003731,PK_Tyr_Ser-Thr/Recep_L_domain/GF_recep_IV/Pkinase/Furin-like
FBgn0053225,Trypsin/DUF1986
FBgn0050263,Spec3
FBgn0050284,VASt
FBgn0260477,Trypsin/Trypsin_2/DUF1986
FBgn0069056,Trypsin/DUF1986
FBgn0050287,Trypsin
FBgn0050286,Trypsin/DUF1986/Trypsin_2
FBgn0050289,Trypsin
FBgn0050288,Trypsin/DUF1986
FBgn0010415,Syndecan
FBgn0050395,PgaPase_1
FBgn0034666,Trypsin/Trypsin_2
FBgn0034674,GpcrRhopsn4/Lung_7-TM_R
FBgn0041237,7tm_7
FBgn0041239,7tm_7
FBgn0041238,7tm_7
FBgn0034665,Asparaginase_2
FBgn0034664,DUF753
FBgn0034663,DUF753
FBgn0034662,DUF753
FBgn0034661,Trypsin
FBgn0042098,Trypsin
FBgn0034660,Lysyl_oxidase/SRCR/SRCR_2
FBgn0050281,Fibrinogen_C
FBgn0029147,Neur_chan_LBD/Methyltransf_FA/Tcf25
FBgn0034716,OATP/MFS_1/Kazal_2
FBgn0034715,OATP/MFS_1/Kazal_2
FBgn0050277,OATP/MFS_1/Kazal_2
FBgn0034712,Alk_phosphatase/Sulfatase
FBgn0034710,Alk_phosphatase/Sulfatase
FBgn0034709,Peptidase_C1
FBgn0034705,PIP49_C
FBgn0034717,LRR_8/LRR_4/LRR_1/LRR_5/LRR_9
FBgn0013272,LRR_8/LRR_4/LRR_5/LRR_1/LRR_9
FBgn0034195,Serpin
FBgn0000079,Alpha-amylase_C/Alpha-amylase
FBgn0034180,bMERB_dom/NT-C2/CH/CAMSAP_CH
FBgn0034154,TIL
FBgn0034156,Na_Ca_ex
FBgn0034157,Chitin_bind_4
FBgn0034158,RasGEF/PH
FBgn0040743,DUF4816
FBgn0034160,Fibrinogen_C
FBgn0034162,Destabilase
FBgn0025827,Destabilase
FBgn0046999,Destabilase
FBgn0034166,Lipase
FBgn0004784,Pkinase/PK_Tyr_Ser-Thr/C1_1/C2/Pkinase_C/Haspin_kinase
FBgn0003091,Pkinase/PK_Tyr_Ser-Thr/C1_1/C2/Pkinase_C
FBgn0034168,7tm_1
FBgn0034159,DUF4816
FBgn0015584,ACP53EA
FBgn0034153,ACP53EA
FBgn0034152,ACP53EA
FBgn0053458,Trypsin
FBgn0011260,Sema/Ig_3/PSI
FBgn0034135,PDZ/PDZ_6/PH_17
FBgn0013763,Glyco_hydro_18
FBgn0024315,MFS_1/Sugar_tr/MFS_4
FBgn0024319,ASC
FBgn0020506,Alpha-amylase_C/Alpha-amylase
FBgn0040505,PK_Tyr_Ser-Thr/Pkinase/MAM/Gly_rich/Ldl_recept_a
FBgn0034136,SNF
FBgn0034131,Ins_allergen_rp
FBgn0034094,Transferrin/Phosphonate-bd/NMT1
FBgn0034126,Ins_allergen_rp
FBgn0034128,Ins_allergen_rp
FBgn0034122,DUF4736
FBgn0034117,Melibiase_2/Melibiase_2_C/Melibiase/Melibiase_C
FBgn0034093,MFS_1_like/MFS_1/Nuc_H_symport
FBgn0034092,Lys
FBgn0034063,MFS_1
FBgn0034067,Reeler/DOMON/Cytochrom_B561
FBgn0034069,DUF4735
FBgn0034070,Laminin_G_1/Laminin_G_2/EGF/Laminin_G_3/FXa_inhibition
FBgn0014020,Ras/Roc/Arf/GTP_EFTU
FBgn0034076,COesterase/BD-FAE/Abhydrolase_3
FBgn0010052,COesterase/BD-FAE/Abhydrolase_3
FBgn0034083,LRR_8/LRR_4/I-set/Ig_3/Ig_2/ig/LRR_1/V-set/LRR_9/Receptor_2B4
FBgn0034085,Y_phosphatase/fn3/PTP_tm/Pur_ac_phosph_N/DSPc
FBgn0050091,Trypsin/DUF1986/Trypsin_2
FBgn0050090,Trypsin/Trypsin_2
FBgn0050088,Trypsin/Trypsin_2
FBgn0034052,Trypsin
FBgn0034049,SNF
FBgn0034045,Sugar_tr/MFS_1/MFS_2
FBgn0050083,Trypsin
FBgn0050080,DUF2157
FBgn0050082,Trypsin/DUF1986
FBgn0050468,Lig_chan
FBgn0024754,Band_7/Flot
FBgn0034032,EamA
FBgn0034030,CBM_14
FBgn0013467,IQ
FBgn0034005,Integrin_alpha2/FG-GAP/FG-GAP_3/DUF11
FBgn0013750,Arf/Roc/Ras/G-alpha/SRPRB/Gtr1_RagA/MMR_HSR1
FBgn0034013,ZU5/Ig_3/I-set/UPA/Ig_2/Death/ig/TSP_1
FBgn0014865,Antimicrobial10
FBgn0033999,Abhydro_lipase/Abhydrolase_1
FBgn0033984,LRR_8/LRR_4/LRR_1/PDZ
FBgn0033988,SH3BP5
FBgn0033955,MFS_1
FBgn0012042,Attacin_C/Attacin_N
FBgn0041581,Attacin_C/Attacin_N
FBgn0016684,MFS_1
FBgn0020767,Sprouty/WH1
FBgn0033958,MFS_1_like/MFS_1/Nuc_H_symport/LacY_symp
FBgn0020269,Spond_N/TSP1_spondin/TSP_1
FBgn0033932,7tm_2/HRM
FBgn0033933,Asp/TAXi_N
FBgn0033935,SIN1/CRIM/SIN1_PH
FBgn0050197,WAP
FBgn0033943,COesterase/BD-FAE/Abhydrolase_3
FBgn0033942,Chitin_bind_4
FBgn0033901,O-FucT
FBgn0033906,TB2_DP1_HVA22
FBgn0033913,MFS_1
FBgn0033926,Ty3_capsid/Retrotrans_gag
FBgn0013770,Peptidase_C1/Inhibitor_I29/Peptidase_C1_2
FBgn0000633,Ig_3/Ig_2/ig/I-set/V-set/Ig_4/C2-set_2
FBgn0033867,Chitin_bind_4
FBgn0033869,Chitin_bind_4
FBgn0033872,QVR
FBgn0033874,Peptidase_C1/Inhibitor_I29
FBgn0033875,Inhibitor_I29
FBgn0033880,Ldl_recept_a
FBgn0033876,MARVEL
FBgn0033873,Peptidase_C1/Inhibitor_I29
FBgn0041579,Attacin_C/Attacin_N
FBgn0019928,Trypsin/Trypsin_2
FBgn0004638,SH3_1/SH3_9/SH3_2/SH2/SH3_10/SH3_3/SH2_2
FBgn0000119,Ldl_recept_b/FXa_inhibition/Ldl_recept_a/DUF5050/SGL
FBgn0050062,Lys/SLT_3
FBgn0033836,Sulfatase
FBgn0033792,NRF/Acyl_transf_3
FBgn0020391,PK_Tyr_Ser-Thr/Pkinase/Kringle/Fz
FBgn0033799,Lipocalin/Lipocalin_2/Triabin
FBgn0028963,7tm_6
FBgn0033791,PK_Tyr_Ser-Thr/WIF/Pkinase
FBgn0033789,MBF2
FBgn0033788,MBF2
FBgn0004512,ABC_membrane/ABC_tran/ABC_ATPase/AAA_22/AAA_16/RsgA_GTPase/AAA_28/AAA_29/AAA_21/AAA_7/AAA_5/Zeta_toxin/AAA_25
FBgn0033784,Cullin_binding
FBgn0033783,zf-C3HC4_3/ARMET_C/Prok-RING_4
FBgn0033778,Sugar_tr/MFS_1
FBgn0050486,CAP
FBgn0050488,CAP
FBgn0011592,fn3/I-set/Ig_3/Neogenin_C/Ig_2/Pur_ac_phosph_N/ig/Interfer-bind/V-set/C2-set_2/NDNF/fn3_4
FBgn0027356,BAR/SH3_1/SH3_9/SH3_2
FBgn0004435,G-alpha/Arf
FBgn0033756,G-alpha/Arf
FBgn0033763,Sulfatase/Phosphodiest/Sulfatase_C/DUF4994
FBgn0033774,Peptidase_M14/Propep_M14
FBgn0003326,Fibrinogen_C
FBgn0050052,PBP_GOBP
FBgn0033760,Aa_trans
FBgn0033710,Spond_N/TSP1_spondin/TSP_1/Reeler/Kunitz_BPTI
FBgn0050203,Spond_N/Reeler/TSP1_spondin/TSP_1/TSP1_CCN/Kunitz_BPTI/TSP1_ADAMTS
FBgn0050046,Spond_N/TSP_1/Reeler/TSP1_spondin/TSP1_CCN
FBgn0050045,Chitin_bind_4
FBgn0050042,Chitin_bind_4
FBgn0033725,Chitin_bind_4
FBgn0033727,7tm_6
FBgn0033728,Chitin_bind_4
FBgn0033729,Chitin_bind_4
FBgn0033730,Chitin_bind_4
FBgn0050050,DUF1091
FBgn0033731,Chitin_bind_4
FBgn0010238,I-set/Ig_3/ig/Ig_2/V-set/Ig_6/C2-set_2/V-set_CD47/Ig_4/Ig_5
FBgn0033742,Peptidase_M13/Peptidase_M13_N
FBgn0033744,7tm_2/HRM
FBgn0045063,Glyco_hydro_20/Glycohydro_20b2
FBgn0033726,Chitin_bind_4
FBgn0033708,SNF
FBgn0000253,EF-hand_1/EF-hand_7/EF-hand_6/EF-hand_8/EF-hand_5/EF-hand_9/EF-hand_4/SPARC_Ca_bdg/EF-hand_11/UPF0154/Dockerin_1/EFhand_Ca_insen/DUF1103
FBgn0020377,MAM/Sushi/Somatomedin_B
FBgn0033685,Oscp1
FBgn0033679,adh_short/adh_short_C2/DUF1776
FBgn0004839,PK_Tyr_Ser-Thr/Ig_3/I-set/Ig_2/ig/Pkinase/V-set/V-set_CD47/C2-set_2/Ig_6/Izumo-Ig
FBgn0033650,DUF1091
FBgn0033657,MFS_1/MFS_1_like
FBgn0033658,DUF243
FBgn0033640,DUF1091
FBgn0050035,Sugar_tr/MFS_1
FBgn0033644,Sugar_tr/MFS_1
FBgn0033649,FGF
FBgn0033639,F-box-like/LRR_6/LRR_4/F-box/LRR_8/F-box_4
FBgn0037084,Syntaxin-6_N/SNARE
FBgn0026386,7tm_6
FBgn0033598,Chitin_bind_4
FBgn0033599,Na_Ca_ex
FBgn0033602,Chitin_bind_4
FBgn0043470,Trypsin
FBgn0010357,Trypsin/Trypsin_2
FBgn0050031,Trypsin/Trypsin_2
FBgn0010358,Trypsin/Trypsin_2
FBgn0015001,Trypsin/Trypsin_2
FBgn0033635,MIP
FBgn0082585,PDZ
FBgn0033629,Tetraspanin
FBgn0050025,Trypsin/Trypsin_2
FBgn0010359,Trypsin/Trypsin_2
FBgn0010425,Trypsin/Trypsin_2
FBgn0003863,Trypsin/Trypsin_2
FBgn0011555,Trypsin/Trypsin_2
FBgn0011554,Trypsin/Trypsin_2
FBgn0011556,Trypsin
FBgn0043471,Trypsin
FBgn0026385,7tm_6
FBgn0033614,PBP_GOBP
FBgn0033603,Chitin_bind_4
FBgn0033601,Chitin_bind_4
FBgn0033600,Chitin_bind_4
FBgn0033597,Chitin_bind_4
FBgn0050021,Guanylate_kin/PDZ/SH3_2/L27/PDZ_6/SH3_1/SH3_9
FBgn0033582,Scramblase
FBgn0033572,Aa_trans
FBgn0033573,PBP_GOBP
FBgn0033579,7TM_GPCR_Srw/7tm_1
FBgn0033574,Serpin
FBgn0050018,Methuselah_N
FBgn0033558,Neur_chan_LBD/Neur_chan_memb
FBgn0033550,Tmemb_170
FBgn0053144,IBR
FBgn0005586,Ras/Roc/Arf/GTP_EFTU/SRPRB/FeoB_N/MMR_HSR1/Gtr1_RagA
FBgn0033518,AhpC-TSA/1-cysPrx_C/Redoxin
FBgn0033520,AhpC-TSA/1-cysPrx_C/Redoxin
FBgn0001122,G-alpha/Arf/Gtr1_RagA
FBgn0033521,AhpC-TSA/1-cysPrx_C/Redoxin
FBgn0053475,DUF1091
FBgn0053477,DUF1091
FBgn0033516,DUF1091
FBgn0033490,Endonuclease_NS
FBgn0026388,7tm_6
FBgn0026403,G2F/EGF_3/Ldl_recept_b/NIDO/EGF_CA/cEGF/SGL
FBgn0003660,Synaptobrevin/MCU/CD34_antigen
FBgn0033494,Ion_trans/KCNQ_channel/Ion_trans_2
FBgn0000715,FARP
FBgn0033469,Trypsin/Trypsin_2
FBgn0033483,TNF/C1q
FBgn0010385,Defensin_2
FBgn0033476,MBOAT
FBgn0033474,DHHC
FBgn0022382,cNMP_binding/RIIa
FBgn0260474,Trypsin/Trypsin_2
FBgn0033439,Trypsin/Trypsin_2
FBgn0005614,Ion_trans/TRP_2/Ank_2/PKD_channel/Ank_4/Ank/Ank_5/Ank_3
FBgn0033443,SNF
FBgn0040092,Lectin_C
FBgn0040093,Lectin_C
FBgn0023180,ORC6
FBgn0027589,Ion_trans_2
FBgn0023143,ThiF/UBA_E1_SCCH/E1_UFD/E1_FCCH/E1_4HB
FBgn0033438,Peptidase_M10/Hemopexin/PG_binding_1
FBgn0041087,PAP2
FBgn0004360,wnt
FBgn0033422,7tm_6/7tm_7
FBgn0033423,Alk_phosphatase
FBgn0033431,Asparaginase_2
FBgn0050340,7tm_1/7TM_GPCR_Srsx/7tm_4
FBgn0016078,PAP2
FBgn0025709,Nucleos_tra2_C/Nucleos_tra2_N/Gate
FBgn0033371,Nucleos_tra2_C/Nucleos_tra2_N/Gate
FBgn0015838,Strabismus
FBgn0050344,MFS_1/Sugar_tr/DUF368
FBgn0050345,MFS_1
FBgn0033402,TIR_2
FBgn0033388,MFS_1/ATG22
FBgn0033387,MFS_1
FBgn0024189,Ig_3/I-set/Ig_2/ig/C2-set_2/V-set/C1-set/fn3/Med3
FBgn0004921,G-gamma
FBgn0033355,Kunitz_BPTI
FBgn0011300,PK_Tyr_Ser-Thr/Pkinase/TGF_beta_GS/Activin_recp
FBgn0033364,DUF4728
